business,name,per_unit_value,unit,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
squarefood&beverageltd.,Radhuni Jali Kabab Masala-50gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,81,  95 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Jali Kabab Masala</li>
<li>Brand: Square</li>
<li>Weight: 50gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Borhani Masala-50gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,29,  40 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand:&nbsp;Radhuni</li>
<li>Origin: Bangladesh</li>
<li>Size: 50 gm</li>
<li>Radhuni Burhani masala eases the preparation of the most popular beverage in our local culture.</li>
<li>Borhani is always present before the rich meals on every special occasion and festival.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Chatpati Masala-50gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,30,  40 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 50gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Khichuri Mix-500gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,99,  110 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 500gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Kasundi-265ml,1,Packet,radhuni,groceries,cooking-items,sauces,45,  50 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Size: 265ml</li>
<li>Kasundi is a protein-rich spicy product made from mustard seeds. it is used as a condiment and taste enhancer.</li>
<li>kasundi is eaten with green fruits, fried food, rice, and vegetables.</li>
<li>Shorshe ilish, a traditional dish, famous among Bengali can be made with kasundi.</li>
<li>You can also use kasundi as an excellent salad dressing as well as a sauce.</li>
<li>kasundi has the beneficial effect of stimulating appetite and digestion.</li>
<li>&nbsp;</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Haleem Mix-200gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,49,  55 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 200gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Shemai-200gm,1,Packet,radhuni,groceries,cooking-items,shemai-and-suji,28,  35 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 200gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Firni Mix-150gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,39,  45 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 150gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Kheer Mix-150gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,39,  45 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 150gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Jorda Mix-400gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,100,  110 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 400gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
