,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
sevendaysnotes,Explorer Notebook Jute Handmade Orange Board Cover,Piece,1,deshi-bazaar-book's-collections,home-&-decor,,,125,150,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Artist Notebook White Spiral,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,133,160,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Artist Notebook Black Spiral,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,133,160,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Artist Notebook Silver Spiral,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,133,160,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Artist Notebook Black & White Spiral 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,266,320,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Artist Notebook Black & Silver Spiral 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,266,320,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Artist Notebook White & Silver Spiral 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,266,320,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Artist Notebook 3-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,398,480,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Sketchbook Series Khaki Colour Spiral Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,183,220,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Middle Man Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,183,220,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
